interval_start_local,region,total_outage_mw,solar_price,wind_price,natural_gas_price,coal_price,nuclear_price,oil_price,hydro_price
2015-04-14,PJM RTO,3421.4,19.42,22.7,40.4,58.22,7.19,74.8,6.81
2015-04-15,PJM RTO,3161.82,43.78,26.7,46.14,46.1,8.41,88.34,8.19
2015-04-16,PJM RTO,3684.09,18.39,18.28,30.95,47.18,8.12,84.5,1.94
2015-04-17,PJM RTO,3392.27,24.61,15.41,58.97,53.56,8.31,82.44,5.26
2015-04-18,PJM RTO,3126.05,20.39,16.18,51.47,52.27,7.24,79.41,3.7
2015-04-19,PJM RTO,3711.44,33.0,13.67,61.76,50.12,8.03,72.69,2.42
2015-04-20,PJM RTO,3099.11,38.81,25.67,66.28,53.3,7.37,79.47,-5.31
2015-04-21,PJM RTO,3179.01,32.09,14.44,57.1,54.03,8.6,67.34,1.78
2015-04-22,PJM RTO,3129.13,20.67,28.48,43.61,52.82,8.68,107.67,4.27
2015-04-23,PJM RTO,3794.41,32.82,33.58,51.62,52.66,7.6,113.9,5.81
2015-04-24,PJM RTO,4530.39,33.69,22.36,69.91,52.29,8.1,113.18,5.27
2015-04-25,PJM RTO,3997.73,22.79,30.83,42.15,54.78,7.78,125.68,2.7
2015-04-26,PJM RTO,3028.38,37.24,32.69,34.39,53.93,10.47,101.62,4.01
2015-04-27,PJM RTO,3353.37,24.72,29.18,48.57,53.39,7.07,84.87,11.12
2015-04-28,PJM RTO,3907.82,31.96,40.6,53.25,57.0,8.24,92.73,2.52
2015-04-29,PJM RTO,3292.3,24.24,22.46,36.63,56.46,8.24,59.98,-0.31
2015-04-30,PJM RTO,3063.81,36.29,37.82,59.43,55.05,9.03,98.79,-0.28
2015-05-01,PJM RTO,3367.49,29.12,29.83,34.97,45.5,8.14,91.43,5.73
2015-05-02,PJM RTO,4315.28,21.44,11.64,45.06,46.11,6.66,96.97,1.57
2015-05-03,PJM RTO,3112.21,30.5,10.45,49.82,53.77,8.88,109.4,5.54
2015-05-04,PJM RTO,3320.62,23.71,25.01,39.3,51.15,7.64,62.45,7.04
2015-05-05,PJM RTO,3886.65,29.29,22.6,47.29,51.7,7.78,103.84,6.27
2015-05-06,PJM RTO,3559.6,27.9,22.33,40.02,49.35,7.6,85.94,6.55
2015-05-07,PJM RTO,4095.87,25.33,34.19,44.8,47.77,6.63,98.96,5.99
2015-05-08,PJM RTO,3231.78,29.41,13.04,41.73,42.09,9.26,57.44,6.78
2015-05-09,PJM RTO,4036.37,29.46,31.2,48.89,46.43,7.92,104.21,6.04
2015-05-10,PJM RTO,3929.44,38.66,32.46,64.95,52.44,7.29,93.35,11.56
2015-05-11,PJM RTO,3704.88,31.29,25.39,35.86,55.67,6.58,78.41,5.46
2015-05-12,PJM RTO,3831.41,31.42,18.52,51.09,58.53,8.75,87.27,1.71
2015-05-13,PJM RTO,3113.14,30.62,24.05,38.92,56.35,7.02,79.57,10.01
2015-05-14,PJM RTO,3297.1,26.07,14.26,59.93,46.68,7.41,51.26,4.66
2015-05-15,PJM RTO,3412.11,24.51,17.58,33.65,42.94,10.03,85.53,3.01
2015-05-16,PJM RTO,3141.5,29.49,3.73,49.85,43.33,7.99,91.42,1.29
2015-05-17,PJM RTO,3075.97,37.14,12.25,51.31,48.77,7.14,91.57,5.7
2015-05-18,PJM RTO,3124.81,25.29,21.35,41.25,46.84,7.2,104.74,3.49
2015-05-19,PJM RTO,4313.8,31.9,35.18,32.52,51.35,7.94,74.2,3.49
2015-05-20,PJM RTO,3609.37,23.21,30.99,39.7,47.17,8.57,90.87,5.01
2015-05-21,PJM RTO,3034.59,24.19,23.08,30.81,41.9,10.08,98.15,6.53
2015-05-22,PJM RTO,4143.51,26.11,34.96,27.37,48.54,6.93,74.65,9.28
2015-05-23,PJM RTO,3530.3,29.2,17.05,55.31,52.23,6.36,91.84,5.65
2015-05-24,PJM RTO,3110.97,33.19,30.15,44.96,48.03,7.06,58.68,8.63
2015-05-25,PJM RTO,3681.37,26.14,13.03,42.71,53.55,7.71,64.62,2.44
2015-05-26,PJM RTO,3493.18,38.61,28.56,47.89,45.22,10.46,96.46,12.93
2015-05-27,PJM RTO,4103.43,27.71,40.96,46.7,49.41,7.2,77.05,4.11
2015-05-28,PJM RTO,3151.74,36.74,30.19,30.9,54.05,6.56,105.55,8.36
2015-05-29,PJM RTO,3980.22,28.98,25.05,42.89,52.46,9.08,76.0,4.74
2015-05-30,PJM RTO,3386.6,29.87,23.09,37.84,52.73,7.73,101.93,2.92
2015-05-31,PJM RTO,3500.69,26.8,30.81,46.3,64.53,8.03,95.65,7.1
2015-06-01,PJM RTO,4102.47,19.36,19.55,63.12,54.44,6.2,59.98,7.83
2015-06-02,PJM RTO,4125.03,28.74,35.87,54.36,42.97,9.45,102.33,12.11
2015-06-03,PJM RTO,4003.11,31.26,9.83,58.22,52.58,7.11,90.22,7.42
2015-06-04,PJM RTO,4936.57,28.72,30.89,55.51,53.47,8.37,88.02,10.34
2015-06-05,PJM RTO,5040.02,32.61,30.03,65.1,56.2,9.87,86.01,9.83
2015-06-06,PJM RTO,6618.29,36.82,29.8,66.3,42.42,8.35,119.52,9.24
2015-06-07,PJM RTO,5020.09,23.63,21.51,64.5,46.57,7.01,79.49,8.2
2015-06-08,PJM RTO,5038.47,30.2,18.42,52.02,51.69,7.61,106.12,11.47
2015-06-09,PJM RTO,4470.43,23.23,25.9,63.07,41.25,7.21,110.04,9.82
2015-06-10,PJM RTO,4289.54,27.48,23.67,59.76,51.79,7.35,63.06,6.09
2015-06-11,PJM RTO,4027.88,34.74,20.47,74.9,46.45,7.11,63.86,6.79
2015-06-12,PJM RTO,5859.06,27.27,20.23,83.73,48.09,9.52,61.31,10.55
2015-06-13,PJM RTO,4379.15,39.13,16.96,55.84,47.76,9.43,113.71,13.38
2015-06-14,PJM RTO,4755.54,30.77,24.18,71.34,43.47,9.65,105.26,7.64
2015-06-15,PJM RTO,4262.03,33.97,18.03,68.33,69.57,8.14,126.16,2.82
2015-06-16,PJM RTO,4335.99,37.86,14.0,48.46,46.0,8.49,111.94,7.23
2015-06-17,PJM RTO,4894.61,27.09,24.94,76.37,55.97,7.42,79.99,8.52
2015-06-18,PJM RTO,4396.71,25.85,9.61,47.4,59.81,7.92,110.22,10.63
2015-06-19,PJM RTO,4151.49,19.69,23.07,62.16,47.75,7.55,66.17,8.69
2015-06-20,PJM RTO,4427.64,29.37,13.87,67.8,52.86,8.6,54.77,14.93
2015-06-21,PJM RTO,4516.61,40.29,32.48,56.44,44.37,9.23,80.96,7.96
2015-06-22,PJM RTO,4258.05,33.2,23.49,58.16,56.68,11.0,99.39,14.31
2015-06-23,PJM RTO,4804.32,28.14,28.73,60.2,48.98,9.4,101.97,4.92
2015-06-24,PJM RTO,5324.24,26.37,32.88,68.11,47.39,8.64,97.62,10.87
2015-06-25,PJM RTO,4168.22,27.08,27.19,60.72,52.4,7.84,101.71,9.91
2015-06-26,PJM RTO,4545.54,25.39,30.43,59.97,44.56,7.93,67.75,10.94
2015-06-27,PJM RTO,4234.98,31.44,28.36,53.41,50.46,8.46,88.04,10.47
2015-06-28,PJM RTO,4440.97,29.91,29.39,51.96,49.2,9.16,62.92,13.49
2015-06-29,PJM RTO,4136.01,34.93,19.45,72.39,48.66,9.67,103.07,8.03
2015-06-30,PJM RTO,4321.69,39.17,27.8,47.33,53.35,7.54,74.02,10.08
2015-07-01,PJM RTO,4370.35,25.84,36.48,70.64,55.27,8.97,77.18,6.34
2015-07-02,PJM RTO,4195.68,31.07,21.92,64.3,51.04,9.15,100.95,17.43
2015-07-03,PJM RTO,5169.51,32.93,23.39,64.33,43.1,9.5,109.69,5.77
2015-07-04,PJM RTO,5099.65,33.98,35.32,61.4,55.24,7.42,74.81,9.3
2015-07-05,PJM RTO,4289.46,28.91,24.75,57.71,50.95,8.13,84.81,10.67
2015-07-06,PJM RTO,4053.51,23.59,28.29,54.89,53.37,8.93,92.42,8.64
2015-07-07,PJM RTO,4132.85,27.66,18.61,70.2,54.81,7.09,76.93,14.77
2015-07-08,PJM RTO,4133.44,24.97,7.68,44.45,43.52,8.53,103.16,7.87
2015-07-09,PJM RTO,4587.19,27.23,26.66,56.58,48.2,8.08,79.81,4.79
2015-07-10,PJM RTO,4083.93,23.13,18.33,66.55,47.18,7.38,102.63,10.98
2015-07-11,PJM RTO,4257.56,41.25,34.58,60.0,45.97,7.17,84.16,6.6
2015-07-12,PJM RTO,4177.33,33.34,12.04,44.68,48.1,7.94,91.88,6.46
2015-07-13,PJM RTO,4569.02,26.3,31.34,68.43,45.14,7.63,100.36,4.49
2015-07-14,PJM RTO,4918.46,34.33,11.75,60.45,44.01,8.81,65.23,3.16
2015-07-15,PJM RTO,4002.43,31.74,26.68,69.69,55.87,10.03,80.57,15.2
2015-07-16,PJM RTO,4196.24,33.03,18.17,62.1,55.72,5.19,87.01,11.29
2015-07-17,PJM RTO,4118.26,27.46,31.99,39.96,50.61,5.74,131.57,15.43
2015-07-18,PJM RTO,4074.94,16.43,32.7,64.77,48.41,6.1,90.54,6.45
2015-07-19,PJM RTO,4726.8,32.66,30.32,59.87,52.06,8.61,94.99,8.12
2015-07-20,PJM RTO,4174.12,36.55,15.62,63.08,46.5,7.1,106.95,17.19
2015-07-21,PJM RTO,4864.83,43.47,26.01,59.74,45.05,7.09,73.92,5.3
2015-07-22,PJM RTO,5364.25,28.79,16.93,55.92,44.26,6.39,80.29,12.3
2015-07-23,PJM RTO,4015.95,27.32,32.6,60.09,47.28,6.56,79.68,8.43
2015-07-24,PJM RTO,4304.88,32.64,16.87,59.56,46.16,9.29,96.97,6.19
2015-07-25,PJM RTO,4156.78,26.91,24.11,65.36,56.87,8.04,74.64,10.63
2015-07-26,PJM RTO,4107.13,33.69,28.38,60.97,51.74,7.66,121.62,5.21
2015-07-27,PJM RTO,4048.05,27.91,23.06,69.5,45.99,7.65,93.99,5.81
2015-07-28,PJM RTO,4382.11,30.82,41.29,51.2,46.02,6.4,90.33,10.95
2015-07-29,PJM RTO,5209.07,36.84,25.02,78.4,46.11,7.76,69.69,11.07
2015-07-30,PJM RTO,4438.89,33.04,32.19,65.06,50.7,8.69,79.33,4.12
2015-07-31,PJM RTO,4118.25,23.68,18.04,65.19,52.17,6.61,109.43,12.46
2015-08-01,PJM RTO,4548.69,28.41,23.27,58.14,53.93,8.8,90.53,10.37
2015-08-02,PJM RTO,4069.29,36.63,27.27,58.82,55.78,8.5,96.94,11.9
2015-08-03,PJM RTO,4002.19,36.25,33.3,58.49,58.68,7.08,115.01,11.31
2015-08-04,PJM RTO,4284.24,26.5,29.95,50.89,57.73,10.33,94.41,11.13
2015-08-05,PJM RTO,4724.87,32.6,40.13,62.53,48.87,8.22,87.87,5.89
2015-08-06,PJM RTO,4044.44,20.75,33.39,54.09,47.82,8.25,100.53,6.98
2015-08-07,PJM RTO,4027.2,27.63,8.59,61.52,60.62,6.47,99.56,12.77
2015-08-08,PJM RTO,5475.43,31.94,24.84,61.41,60.63,7.46,91.24,3.82
2015-08-09,PJM RTO,4896.95,22.71,24.87,52.7,36.52,7.63,94.21,9.53
2015-08-10,PJM RTO,4954.52,30.59,34.78,54.74,42.0,8.61,99.16,14.5
2015-08-11,PJM RTO,4515.53,25.81,30.62,65.05,45.36,6.3,68.29,8.8
2015-08-12,PJM RTO,4228.77,37.67,22.94,56.15,57.52,6.86,116.19,10.08
2015-08-13,PJM RTO,4918.49,11.68,24.27,82.43,47.38,7.21,100.07,7.31
2015-08-14,PJM RTO,5023.26,31.21,33.08,58.96,50.03,8.89,81.43,12.51
2015-08-15,PJM RTO,4221.91,30.75,28.9,61.26,40.33,5.49,84.22,8.23
2015-08-16,PJM RTO,4003.62,35.49,10.07,59.41,54.88,6.97,85.32,4.61
2015-08-17,PJM RTO,4494.1,27.6,34.38,45.03,57.82,8.42,77.58,8.68
2015-08-18,PJM RTO,4054.03,20.94,31.23,47.86,45.73,7.8,66.85,14.78
2015-08-19,PJM RTO,6083.91,27.07,31.75,60.39,46.82,7.41,95.82,14.72
2015-08-20,PJM RTO,4055.33,41.6,30.41,43.0,51.35,6.69,85.34,12.86
2015-08-21,PJM RTO,4546.15,24.79,25.76,55.98,52.96,6.46,103.79,9.12
2015-08-22,PJM RTO,5173.66,32.73,31.55,53.36,58.82,7.0,71.77,11.57
2015-08-23,PJM RTO,4049.2,34.05,30.25,52.37,38.71,8.72,103.41,1.93
2015-08-24,PJM RTO,4290.36,33.99,23.7,59.28,61.09,7.8,78.86,10.78
2015-08-25,PJM RTO,4537.29,32.99,16.8,56.12,43.59,8.91,87.03,14.5
2015-08-26,PJM RTO,5375.34,31.9,32.87,47.7,40.58,6.49,93.11,12.36
2015-08-27,PJM RTO,4017.9,28.89,16.89,73.5,49.85,8.62,85.52,1.0
2015-08-28,PJM RTO,4486.01,27.94,29.52,60.36,40.43,7.2,84.0,7.84
2015-08-29,PJM RTO,5280.61,30.96,29.86,57.35,42.79,7.99,103.13,13.31
2015-08-30,PJM RTO,4576.57,22.49,35.93,61.87,50.25,9.16,76.16,11.19
2015-08-31,PJM RTO,4486.29,29.63,20.96,52.53,49.66,8.49,104.95,6.69
2015-09-01,PJM RTO,3425.06,35.96,30.76,49.32,53.5,8.1,79.78,14.57
2015-09-02,PJM RTO,3008.74,36.43,28.59,37.88,55.25,8.57,78.96,10.13
2015-09-03,PJM RTO,3022.07,33.59,32.88,54.71,46.68,7.49,71.72,10.12
2015-09-04,PJM RTO,3109.13,28.75,15.46,47.61,51.52,8.12,77.39,10.59
2015-09-05,PJM RTO,4061.0,33.08,25.54,56.98,48.4,8.06,95.76,10.74
2015-09-06,PJM RTO,3103.67,29.88,16.35,43.19,48.38,7.29,115.01,4.07
2015-09-07,PJM RTO,3848.17,36.22,9.43,36.6,53.75,7.16,93.82,9.79
2015-09-08,PJM RTO,3086.22,28.95,36.53,53.58,47.01,8.74,83.55,11.32
2015-09-09,PJM RTO,3597.93,38.12,18.02,41.41,42.45,8.05,93.77,5.63
2015-09-10,PJM RTO,3028.49,28.42,33.52,56.02,55.3,8.73,69.15,5.69
2015-09-11,PJM RTO,3166.36,36.44,30.89,30.95,51.26,7.46,75.3,12.47
2015-09-12,PJM RTO,3295.34,22.07,20.22,43.98,49.77,7.58,81.22,14.47
2015-09-13,PJM RTO,3498.86,30.47,16.48,65.81,47.49,7.02,89.77,9.4
2015-09-14,PJM RTO,3698.63,27.42,41.63,57.35,42.68,9.09,75.85,7.44
2015-09-15,PJM RTO,4351.88,22.21,8.9,40.9,48.46,7.99,95.0,6.27
2015-09-16,PJM RTO,3075.79,26.32,19.43,70.65,53.42,7.55,74.16,8.0
2015-09-17,PJM RTO,3314.76,27.94,3.05,52.22,50.0,9.29,124.18,8.66
2015-09-18,PJM RTO,3296.83,24.53,20.4,46.24,56.38,8.39,111.32,9.77
2015-09-19,PJM RTO,3047.65,36.15,19.46,36.36,48.98,8.07,111.01,12.77
2015-09-20,PJM RTO,3516.27,31.89,24.83,43.17,45.73,7.13,87.42,9.32
2015-09-21,PJM RTO,3022.82,31.14,18.38,31.02,53.92,8.2,92.75,8.13
2015-09-22,PJM RTO,3388.7,36.36,38.42,48.65,49.12,10.76,90.85,8.89
2015-09-23,PJM RTO,3433.24,23.21,31.76,40.0,50.28,8.73,87.88,11.55
2015-09-24,PJM RTO,3364.37,35.09,25.21,51.61,60.86,9.31,100.8,15.67
2015-09-25,PJM RTO,3259.99,29.91,14.71,36.54,55.93,7.87,117.11,11.05
2015-09-26,PJM RTO,3008.05,21.29,30.92,48.53,55.59,7.04,70.74,15.05
2015-09-27,PJM RTO,3369.93,29.62,23.64,38.68,50.03,9.83,86.13,4.83
2015-09-28,PJM RTO,3322.92,32.55,22.65,60.31,51.0,9.17,87.76,12.42
2015-09-29,PJM RTO,3325.9,33.92,16.13,47.2,48.1,5.14,103.03,3.98
2015-09-30,PJM RTO,4521.16,30.58,24.03,34.19,54.44,7.49,79.48,14.36
2015-10-01,PJM RTO,3107.38,29.24,29.18,50.34,49.4,8.84,99.27,8.77
2015-10-02,PJM RTO,3876.84,21.62,33.33,34.31,44.63,8.22,69.74,15.18
2015-10-03,PJM RTO,3250.77,37.41,15.62,40.89,54.54,7.46,84.87,5.2
2015-10-04,PJM RTO,4254.39,35.22,17.98,48.55,45.82,7.2,74.19,8.91
2015-10-05,PJM RTO,3119.84,25.54,17.67,46.9,51.54,7.54,87.0,8.23
2015-10-06,PJM RTO,3925.94,22.86,17.9,49.16,51.52,8.0,77.36,12.79
2015-10-07,PJM RTO,3305.33,31.37,22.97,36.27,58.55,9.19,79.6,11.37
2015-10-08,PJM RTO,3694.46,28.39,35.46,43.32,52.45,8.03,92.02,6.21
2015-10-09,PJM RTO,3439.12,37.11,27.52,43.18,47.82,8.08,78.74,13.84
2015-10-10,PJM RTO,4001.84,29.4,29.54,69.43,53.69,7.93,95.75,10.11
2015-10-11,PJM RTO,3344.28,32.6,24.08,45.12,53.34,8.55,90.77,12.51
2015-10-12,PJM RTO,6469.2,30.99,27.69,43.91,51.76,8.29,79.34,5.55
2015-10-13,PJM RTO,3368.23,30.0,25.16,37.73,50.44,8.32,58.91,11.89
2015-10-14,PJM RTO,3018.28,18.33,13.66,48.66,45.83,9.13,94.94,5.89
2015-10-15,PJM RTO,3837.68,36.04,9.88,35.76,52.75,7.63,95.27,10.17
2015-10-16,PJM RTO,4029.48,35.06,36.58,45.38,51.77,9.03,82.58,9.69
2015-10-17,PJM RTO,3095.71,37.26,40.55,48.32,50.48,10.59,61.93,8.9
2015-10-18,PJM RTO,3996.93,29.9,20.17,52.38,50.51,7.2,80.13,9.42
2015-10-19,PJM RTO,3709.32,28.68,23.73,50.9,52.39,8.21,91.79,12.04
2015-10-20,PJM RTO,3420.92,32.08,22.95,51.17,52.54,8.09,92.93,10.71
2015-10-21,PJM RTO,3202.51,35.16,18.97,63.18,49.27,8.93,91.52,13.22
2015-10-22,PJM RTO,3279.44,30.97,22.71,52.51,48.99,7.7,64.17,14.09
